date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,vix_change_1d,vix_ma_10,vix_zscore_10,pe_ratio,eps,revenue_growth,debt_to_equity,roe,future_return_3d,used_fallback,news_sentiment,sentiment_quality,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-05-16,580.43,584.18,580.43,583.035,1521840,MA,0.001434215046375753,0.011177786642154519,571.5575,553.9712499999999,546.2539337823961,0.00818718029388363,51.27,51.6671,51.16,51.62,44861372.0,0.006630265210608277,0.01057165231010182,50.356,49.2235,49.130499613233,0.007910188232721682,0.006630265210608277,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.011177786642154519,False,0.29803999999999997,Fresh,0.0037880023,-0.06545296160036684,-0.8488319105925983,-0.009946102531457342,-0.009946102531457342,Down,0.55,Avoid,582.9770107411057,582.8610495257569,582.7451113765038
2025-05-16,149.67,151.49,149.22,151.29,5683250,JNJ,0.01122919590936422,0.019199676637025043,152.649,154.203,155.2418146451479,0.017276202327792905,130.7,132.97,130.31,132.915,11173950.0,0.018818028514486995,0.007924471069993055,133.4625,135.34725,138.28208343037466,0.019623529057892306,0.018818028514486995,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.019199676637025043,False,0.7783,Fresh,0.13035633,0.33867132967721575,-0.01064910318159816,0.12810696560777,0.12810696560777,Up,0.65,Buy,151.48381302826797,151.87218426684657,152.2615512040146
2025-05-16,279.29,294.48,269.15,290.6145,66584492,UNH,0.05928376161837079,-0.06668861198535547,351.96745,384.21522500000003,443.0243914491096,0.06659983285751911,130.7,132.97,130.31,132.915,11173950.0,0.018818028514486995,0.007924471069993055,133.4625,135.34725,138.28208343037466,0.019623529057892306,0.018818028514486995,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,-0.06668861198535547,False,-0.042526086956521734,Fresh,-1.6787653,0.04127979271843268,-3.7530412915301863,-1.7119890840601528,-1.7119890840601528,Down,0.05,Avoid,285.63921148330405,275.9427054282241,266.575363668158
2025-05-16,22.65,22.79,22.45,22.785,28194076,PFE,0.008185840707964465,-0.003716659379099263,22.8155,23.00825,23.713723658991288,0.02606841406942456,130.7,132.97,130.31,132.915,11173950.0,0.018818028514486995,0.007924471069993055,133.4625,135.34725,138.28208343037466,0.019623529057892306,0.018818028514486995,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,-0.003716659379099263,False,0.658075,Fresh,2.2100375,0.8731447580917563,-0.323205698527899,2.169118569825457,2.169118569825457,Up,1.0,Buy,23.279233666134733,24.300095081760524,25.365724209453642
2025-05-16,71.86,72.24,71.43,72.06,14084627,KO,0.006284038542103021,0.044953596287703235,70.883,71.642,70.52555433377897,0.01500045058229045,81.22,82.06,81.095,82.015,8633612.0,0.010783830416563944,0.025956967725794478,81.0245,81.17774999999999,80.76892918986104,0.009346448860338192,0.010783830416563944,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.044953596287703235,False,0.5635666666666667,Fresh,1.125485,0.44238451302664206,0.8411653325515337,1.120839121277062,1.120839121277062,Up,0.95,Buy,72.86767667079226,74.5102897475077,76.18993128242397
2025-05-16,162.65,163.36,161.855,163.2325,5099329,PG,0.005064343328612608,0.02836577836577825,159.69725,161.203125,164.03702665268378,0.013181921446551427,81.22,82.06,81.095,82.015,8633612.0,0.010783830416563944,0.025956967725794478,81.0245,81.17774999999999,80.76892918986104,0.009346448860338192,0.010783830416563944,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.02836577836577825,False,-0.0516,Fresh,0.8547147,0.1653500666224012,0.37525773621241665,0.8469264787987263,0.8469264787987263,Up,0.9,Buy,164.61495926450513,167.41510219587929,170.26287628101468
2025-05-16,96.14,99.1946,95.995,98.1247,27569231,WMT,0.018419304618578103,0.023411556111806453,97.47947,96.629235,94.05362781154058,0.009986073547267608,216.36,217.62,215.78,217.48,2478063.0,0.008579511199740208,0.01021924934968399,207.675,200.95850000000002,202.45232128577763,0.01679741914323794,0.008579511199740208,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.023411556111806453,False,0.3655333333333333,Fresh,-0.14644933,0.2516450034751133,-0.37472063953614054,-0.15008469178673917,-0.15008469178673917,Down,0.4,Avoid,97.97742984643834,97.6835522974511,97.39055621691975
2025-05-16,379.23,380.65,378.1497,379.72,1755119,HD,0.002878799883791583,0.0163811563169165,369.278,363.34900000000005,367.1326504687519,0.014399105362543086,216.36,217.62,215.78,217.48,2478063.0,0.008579511199740208,0.01021924934968399,207.675,200.95850000000002,202.45232128577763,0.01679741914323794,0.008579511199740208,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.0163811563169165,False,0.0,Fresh,-0.08704853,0.1341480047909216,-0.136488295284989,-0.08782239104148154,-0.08782239104148154,Down,0.45,Avoid,379.3865208167373,378.7204408011841,378.0555302066903
2025-05-16,205.69,206.24,203.02,205.75,7214888,BA,-0.002375872769588838,0.0114541343034118,196.31900000000002,186.371,178.02721829263174,0.01232653961813009,142.38,143.64,141.91,143.53,3729680.0,0.009637028700056227,0.01592582106455276,138.225,133.566,132.87194873251568,0.011081191234761539,0.009637028700056227,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.0114541343034118,False,-0.13277692307692307,Fresh,-0.14240357,-0.5473821894590886,-1.4625981363078768,-0.16369920283989128,-0.16369920283989128,Down,0.35,Avoid,205.4131888901569,204.74121983920924,204.0714490035167
2025-05-16,108.65,108.89,107.45,108.2,9339960,XOM,-0.003499723706023139,-0.011511054266398646,106.98499999999999,107.13399999999999,108.35376280209736,0.013553896004474151,85.8,85.85,84.605,85.46,9161782.0,-0.0017521317603084174,-0.003614317360382424,83.228,82.40950000000001,84.61306794160241,0.012278889608650805,-0.0017521317603084174,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,-0.011511054266398646,,,Fallback,0.05908875,0.1881457533044462,0.2818079427255181,0.06268743470768783,0.06268743470768783,Up,0.6,Buy,108.26782780435373,108.40361099824729,108.53956448350178
