date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,used_fallback,news_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d,forecast_date,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble
2025-05-12,262.9,263.6,258.7,260.05,9530323,JPM,0.0275406985933301,0.0427442960824413,250.644,243.63450000000003,244.48909702783055,0.0123744506806048,51.11,51.2,50.55,50.87,44274103.0,0.0202567188126754,0.0287158746208289,49.458000000000006,48.3575,48.761268547869406,0.0095696488505193,0.0202567188126754,18.39,,,,,,False,0.54916,0.278395345004036,Up,0.5,Buy,260.77396709468303,262.2279533671542,263.6900465687951,2025-05-13,0.348422,0.6697102432179582,-0.1829461990772795,0.278395345004036
2025-05-13,261.03,263.67,260.39,263.01,8514396,JPM,0.0113824264564506,0.0376375902473664,252.483,245.049,245.2425896624584,0.0124503234009889,51.0,51.32,50.91,51.08,33527023.0,0.0041281698447022,0.0244685118331327,49.699,48.554,48.85401664196222,0.0094191414519341,0.0041281698447022,18.22,,,,,,False,0.3897,-0.3591351147301482,Down,0.45,Avoid,262.0654387347482,260.18648077503053,258.3209945765318,2025-05-14,-0.05485132,-0.1241466423247454,-0.8984073822248244,-0.3591351147301482
2025-05-02,71.5,71.82,71.1,71.65,11673739,KO,0.0050497966054146,-0.0096751900483758,72.401,71.593,70.3998743224057,0.0098034887417703,81.58,81.86,81.21,81.56,14827079.0,0.0054240631163706,0.0039389463318564,81.33099999999999,80.473,80.65514383228289,0.0084678821614445,0.0054240631163706,,15.0,2.0,0.05,1.0,0.1,False,0.3803714285714286,0.0409755123164724,Up,0.45,Watch,71.67935895457477,71.73811295859976,71.79691512199783,2025-05-04,,,,
2025-05-05,71.67,71.735,71.02,71.66,3099697,KO,0.000139567341242,-0.0122674017918676,72.28999999999999,71.67949999999999,70.43661225653084,0.0098091381468927,81.59,81.64,81.0,81.595,2541632.0,0.0004291319274154,-0.002871807405597,81.3815,80.62974999999999,80.68197940274936,0.0078298465133627,0.0004291319274154,,15.0,2.0,0.05,1.0,0.1,False,-0.1406799999999999,0.0121232009209006,Up,0.45,Watch,71.66868748577991,71.68606561707149,71.70344796219004,2025-05-05,,,,
2025-05-06,71.675,71.9,71.16,71.705,9525939,KO,6.973500697338153e-05,0.0058212933090193,72.07449999999999,71.84825000000001,70.48755638214912,0.0078784682061918,,,,,,,,,,,,,24.76,,,,,,False,0.1924,0.4597228773848288,Up,0.95,Buy,72.0346442892288,72.69848618519242,73.36844577726166,2025-05-06,-0.34061605,1.4555905225669472,0.264194156969894,0.4597228773848288
2025-05-06,71.68,71.9,71.16,71.72,12316481,KO,0.0002789400278939,0.0060317015009117,72.076,71.849,70.49019912490809,0.0078877463207239,81.33,81.63,80.97,81.36,10458873.0,-0.0015952877653698,0.0029585798816567,81.283,80.815,80.71447886899395,0.0062070572904528,-0.0015952877653698,24.76,,,,,,False,0.1924,0.0697584355297488,Up,0.4,Watch,71.77003074996193,71.87019697623732,71.97050300004076,2025-05-07,0.28138164,0.0660310049764809,-0.138137335245221,0.0697584355297488
2025-05-08,72.2,72.47,71.13,71.17,14340815,KO,-0.0169889502762431,-0.007391910739191,71.853,72.10900000000001,70.58456354920962,0.0095132304439089,81.57,81.95,81.07,81.38,10987730.0,-0.0012272950417281,-0.00134985887839,81.286,81.1745,80.76693311884738,0.0052752952598343,-0.0012272950417281,22.48,,,,,,False,0.43035,-1.7551942664390503,Down,0.7,Avoid,69.92082824057533,67.4878760618167,65.13958043609203,2025-05-09,-1.9711938,-2.065240737598512,-1.229148271282849,-1.7551942664390503
2025-05-09,70.99,71.15,70.46,70.52,11228947,KO,-0.0091330616832936,-0.0167317345231455,71.714,72.09700000000001,70.58081691390696,0.0095712047258389,81.03,81.34,80.82,80.91,8991725.0,-0.0057753747849594,-0.0054087277197295,81.293,81.2525,80.77322687119424,0.0055653130748736,-0.0057753747849594,21.9,,,,,,False,0.8411333333333334,-1.5842143033402518,Down,0.7,Avoid,69.40281207328445,67.22125178808449,65.10826516922151,2025-05-11,-2.4061754,-1.1700578410660665,-1.1764096939699482,-1.5842143033402518
2025-05-12,70.15,70.33,68.7,69.53,21469770,KO,-0.0140385706182643,-0.0396408839779006,71.488,72.002,70.53453411490952,0.0103077678165495,80.97,81.23,80.33,81.03,18912130.0,0.0014831294030404,-0.0055228276877761,81.339,81.2865,80.78353811241776,0.0054416439961705,0.0014831294030404,18.39,,,,,,False,0.9806,0.8623967259023742,Up,0.85,Buy,70.12962444351993,71.34443135102124,72.58028151712007,2025-05-13,0.48309097,0.8727172959402344,1.2313819148269622,0.8623967259023742
2025-05-13,69.59,69.69,68.87,68.96,14238298,KO,-0.0081979001869697,-0.0310524097231981,71.149,71.8275,70.46638709808248,0.0096400000599535,80.76,80.88,79.65,79.94,13041864.0,-0.013451807972356,-0.0176947652985991,81.209,81.1975,80.7448478006712,0.0062919014904053,-0.013451807972356,18.22,,,,,,False,0.7309,0.8894453768437666,Up,0.9,Buy,69.57336153187146,70.81649966681304,72.08185021737636,2025-05-14,0.6983649,0.7780791507498234,1.1918920663178838,0.8894453768437666
2025-05-02,555.63,562.38,554.99,559.39,2564885,MA,0.0233430291056107,0.036521642454788,536.385,520.209,533.261843619531,0.0145122941779734,49.49,49.94,49.33,49.76,35019493.0,0.0207179487179487,0.0223957263201148,48.091,47.0265,48.45439219224128,0.0147535147413896,0.0207179487179487,,15.0,2.0,0.05,1.0,0.1,False,0.5473,0.1194687781915791,Up,0.7,Buy,560.0582963983259,561.3972853654483,562.7394755911996,2025-05-04,,,,
