date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,date_fetched,used_fallback,news_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-05-02,556.01,561.67,555.525,560.695,1148872,MA,0.025730384355048264,0.03893974206937467,536.5155,520.2742499999999,533.3131719315458,0.014810394247513169,49.49,49.845,49.33,49.79,17218716,0.021333333333333426,0.023012122457365836,48.094,47.028,48.45230407215949,0.014820207093522145,0.021333333333333426,,15.0,2.0,0.05,1.0,0.1,2025-04-26,,,-0.12827790368645756,Down,0.35,Avoid,559.9757522079252,558.5400233482076,557.1079755717341
2025-05-02,156.07,156.13,155.04,155.505,2232252,JNJ,0.006765505632526203,-0.0025976524918222,155.69549999999998,154.07825,156.66091445251362,0.007583406222925171,138.79,139.0,137.55,138.26,4590659,0.01185597189695553,-0.007323377369328088,137.20499999999998,136.6655,140.8026291107842,0.0147808856711074,0.01185597189695553,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.0516,-0.1291226167279173,Down,0.3,Avoid,155.30420787485724,154.90340109393657,154.50362870917186
2025-05-02,399.98,402.0,393.11,398.99,5972815,UNH,-0.0042178296895277745,-0.02502260342594631,416.37,487.43499999999995,490.0640379276612,0.021314360041864024,138.79,139.0,137.55,138.26,4590659,0.01185597189695553,-0.007323377369328088,137.20499999999998,136.6655,140.8026291107842,0.0147808856711074,0.01185597189695553,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.9995,-0.300611055627634,Down,0.2,Avoid,397.79059194915135,395.4025816683712,393.0289070536841
2025-05-02,24.275,24.28,23.97,24.205,17526515,PFE,0.011491851232762196,0.017444304329550242,23.2015,22.70925,24.19749807763604,0.01632707429689679,138.79,139.0,137.55,138.26,4590659,0.01185597189695553,-0.007323377369328088,137.20499999999998,136.6655,140.8026291107842,0.0147808856711074,0.01185597189695553,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.4511,1.0171942193772254,Up,1.0,Buy,24.451211860800257,24.951174415996483,25.461359881943366
2025-05-02,71.5,71.72,71.1,71.415,5415452,KO,0.001753401599102311,-0.012923289564616303,72.3775,71.58125,70.38868469758654,0.009600077453996119,81.58,81.855,81.21,81.35,8925041,0.0028353057199210774,0.0013540128015756547,81.30999999999999,80.4625,80.64303658178913,0.008309944011261063,0.0028353057199210774,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.50622,0.01726283294851863,Up,0.65,Buy,71.42732825215019,71.45199114143468,71.47666254648087
2025-05-02,160.925,161.74,159.9,160.425,2639566,PG,0.0027815976997125347,-0.011309010230494132,162.6995,163.83875,166.04924236367864,0.016898127378776873,81.58,81.855,81.21,81.35,8925041,0.0028353057199210774,0.0013540128015756547,81.30999999999999,80.4625,80.64303658178913,0.008309944011261063,0.0028353057199210774,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.10230000000000002,0.2904946336502481,Up,0.9,Buy,160.89102601603344,161.82714332246414,162.76870726960004
2025-05-02,97.95,99.22,97.85,98.385,8580357,WMT,0.0100092392978135,0.02441690962099119,95.74249999999999,92.61775,92.38089819986878,0.010363344662947027,200.51,202.59,199.135,202.27,1804476,0.019763045122258793,0.01607474757622951,194.326,190.24949999999998,199.37088744267737,0.01731579283360022,0.019763045122258793,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.0,0.05138595292164057,Up,0.7,Buy,98.43555606978197,98.53674615884995,98.6380402696204
2025-05-02,362.08,366.2299,361.35,365.44,1073303,HD,0.019927435110242753,0.017938718662952713,357.512,354.05,365.5973296060993,0.013106860783401559,200.51,202.59,199.135,202.27,1804476,0.019763045122258793,0.01607474757622951,194.326,190.24949999999998,199.37088744267737,0.01731579283360022,0.019763045122258793,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.6486,-0.01655028000581206,Down,0.55,Avoid,365.37951865674677,365.2585859980786,365.13769336548523
2025-05-02,185.0,187.58,184.105,186.855,5330951,BA,0.021679698179233542,0.026675824175824037,176.5625,164.34074999999999,168.73370587673043,0.02070074378506158,133.895,135.1,133.7,135.01,3814071,0.021178428258074256,0.036306416948111764,128.95,126.021,130.03329491171147,0.012935329738312774,0.021178428258074256,,15.0,2.0,0.05,1.0,0.1,2025-04-26,,,0.5136549020444522,Up,0.95,Buy,187.81478986721515,189.74918494797853,191.70350329639894
2025-05-02,107.72,109.0,104.55,105.83,8440049,XOM,0.00047267914539617095,-0.0233480989294943,107.24499999999998,105.34849999999999,108.9013185939087,0.014322652225649308,81.78,82.39,80.315,81.53,9334472,0.009034653465346487,-0.014505016318143382,81.54599999999999,80.328,85.10512760460675,0.016577366023836557,0.009034653465346487,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.31675,-0.007338307086781265,Down,0.6,Avoid,105.82223386961006,105.80670331849586,105.79117504665707
